Country;Alcoholic Beverages;Animal Products;Animal fats;Aquatic Products, Other;Cereals - Excluding Beer;Eggs;Fish, Seafood;Fruits - Excluding Wine;Meat;Miscellaneous;Milk - Excluding Butter;Offals;Oilcrops;Pulses;Spices;Starchy Roots;Stimulants;Sugar Crops;Sugar & Sweeteners;Treenuts;Vegetal Products;Vegetable Oils;Vegetables;Obesity;Undernourished;Confirmed;Deaths;Recovered;Active;Population;Unit (all except Population);
Slovakia;0;25.493;149.373;0;20.003;11.183;0.2331;0.1386;58.496;0.0095;32.697;0.0851;0.7686;0.0221;0.0599;0.041;0.7655;0;0;0.4253;24.507;201.474;0.1292;22.4;3.4;0.0305097176384305;0.000513384671800513;0.0267876787678768;0.00320865419875321;5454000;%;
Slovenia;0;266.163;100.008;0;35.771;11.287;0.3693;0.4606;85.899;0.0622;64.155;0.112;0.8714;0.0415;0.1784;0.0539;2.411;0;0;15.852;233.878;138.684;0.2697;22.5;<2.5;0.0757183908045977;0.00531609195402299;0.0662835249042146;0.00411877394636015;2088000;%;
Solomon Islands;0;136.649;34.726;0;30.802;0.2943;25.505;0.569;65.431;0.0981;0.7553;0.049;165.686;0.5199;0.1962;21.778;0.981;0;0;0.3139;363.351;11.752;0.0785;20.5;8.9;NA;NA;NA;NA;699000;%;
South Africa;0;197.743;0.8542;0;64.308;10.982;0.2379;0.0854;141.489;0;31.056;0.3295;11.836;0.0427;0.1037;0.0549;0.2807;0;0;0.0915;302.257;217.877;0.1647;27;6.2;0.235659205677631;0.00418998225740412;0.117587348164324;0.113881875255903;58616000;%;
Spain;0;195.253;24.641;0;1.078;12.521;10.814;0.375;92.772;0;53.601;0.0937;10.513;0.0971;0.0134;0.0469;0.4955;0;0;13.626;304.731;256.922;0.2611;27.1;<2.5;0.528477046289805;0.0602107365156247;0.319452764854588;0.148813544919593;47073000;%;
Sri Lanka;0;101.348;0.3195;0;27.159;11.682;22.766;0.5791;2.027;0.01;42.336;0.0999;271.892;0.3794;14.279;0.0899;0.1198;0;0.01;0.4194;398.602;6.7;0.2396;5.4;9;0.00930221938076537;5,02E+09;0.00758516759521417;0.00166681888756964;21898000;%;
Sudan;0;201.511;17.092;0;56.998;0.2347;0.0587;0.3961;70.789;0.0073;108.055;0.2641;37.265;0.4108;0.1174;0.0587;0.0587;0;0;0;298.489;190.214;0.3521;7.4;20.1;0.0216219372620466;0.00133604279074113;0.00937565692663443;0.010910237544671;42813000;%;
Suriname;0;148.751;0.7849;0;31.593;0.9601;0.772;0.2335;10.639;0.1557;16.867;0.0324;31.139;0.0649;0.0584;0.1103;0.8823;0;0;0.1557;351.281;269.089;0.2789;26.5;8.5;0.0813953488372093;0.00182724252491694;0.0330564784053156;0.0465116279069767;602000;%;
Sweden;0;284.111;97.148;0;19.481;13.741;0.8778;0.3556;88.481;0.0481;75.926;0.0074;0.9519;0.0296;0.1111;0.0481;0.2333;0;0;0.9704;215.852;16.663;0.2296;22.1;<2.5;0.633258798366712;0.0513319074470154;0;0.581926890919697;10286000;%;
Switzerland;0;281.054;62.293;0;11.241;0.93;0.4048;0.3379;120.906;0;83.804;0.0703;0.5286;0.0268;0.0836;0.0368;0.174;0;0;19.772;218.962;173.898;0.2141;21.2;<2.5;0.368840410639291;0.0228884741017265;0.339477368175455;0.00647456836210919;8572000;%;
Taiwan*;0;193.217;26.952;0;11.629;14.818;0.4667;0.2956;132.817;0.0194;13.223;0.07;28.197;0.0506;0.105;0.0194;0.4823;0;0;0.6145;306.783;248.016;0.3111;NA;3.5;0.00189462976306532;2,97E+09;0.00184376721909041;2,12E+09;23593000;%;
Tajikistan;0;126.827;0.0348;0;102.035;0.5741;0.0174;0.3566;7.159;0.0348;46.799;0.2175;1.27;0.1131;0.0174;0.0783;11.308;0;0;0.4175;373.173;227.557;0.9395;12.6;NA;0.0634312981238477;0.000563930159418718;0.0482377182518165;0.0146296497126125;9221000;%;
Thailand;0;195.718;1.666;0;2.538;28.961;17.984;0.506;116.621;0.0078;14.636;0.0934;46.166;0.1012;17.594;0.0701;0.1246;0;0;0.2647;304.165;202.336;0.2102;10.8;7.8;0.00476391358061892;8,74E+09;0.00459969265073673;7,68E+09;66374000;%;
Timor-Leste;0;178.988;20.345;0;102.168;0.2446;0.7893;13.007;145.525;0.1112;0.1779;0.0889;35.353;0.2779;0.1445;0.1779;0.2001;0;0;0.0111;321.067;159.644;0.1668;2.9;24.9;0.00185614849187935;0;0.00185614849187935;0;1293000;%;
Togo;0;53.063;0.5351;0;89.093;0.1962;0.5708;0.0624;33.889;0.0803;0.544;0.0713;29.608;0.8918;0.223;0.6064;0.1694;0;0;0;446.892;30.643;0.1516;7.1;16.1;0.00794357832219748;0.000173224449393714;0.00496164315763425;0.00280871071516951;8082000;%;
Trinidad and Tobago;0;233.455;53.472;0;25.134;0.6185;0.7816;0.3205;11.386;0.1012;51.279;0.0843;31.993;0.343;0.4386;0.0843;0.4386;0;0;0.596;266.573;184.369;0.1799;19.7;5.5;0.0092511013215859;0.000587371512481645;0.00800293685756241;0.00066079295154185;1362000;%;
Tunisia;0;127.886;26.543;0;32.543;0.9255;0.5085;0.4068;40.323;0.0102;45.764;0.0915;14.085;0.2034;0.3407;0.0407;0.3;0;0;23.289;372.114;281.552;0.7627;27.3;4.3;0.0100214316330904;0.00042863266180883;0.00882126018002572;0.000771538791255894;11665000;%;
Turkey;0;136.766;29.392;0;20.428;0.825;0.1428;0.3292;38.475;0.0079;58.586;0.0674;17.453;0.3808;0.3729;0.0516;0.0912;0;0;28.162;363.175;278.172;0.6703;32.2;<2.5;0.238767901025337;0.00617017928262738;0.206513975813188;0.0260837459295217;82607000;%;
Turkmenistan;0;326.886;64.856;0;29.938;1.106;0.1274;0.3069;174.764;0.0347;74.411;0.0521;0.3938;0.0405;0.0058;0.0521;10.829;0;0;0.1969;173.085;11.761;0.4459;17.5;5.4;NA;NA;NA;NA;5942000;%;
Uganda;0;123.139;0.9627;0;34.479;0.2239;0.862;0.7164;6.101;0.0112;40.188;0.1343;65.599;10.411;0.0336;0.5709;0.1008;0;0;0;376.917;250.532;0.1567;4.1;41;0.00194036593629998;0;0.00179353964309916;0.000146826293200813;44270000;%;
Ukraine;0;26.91;5.494;0;30.837;24.481;0.516;0.3084;9.635;0.0063;8.691;0.1196;0.1007;0.0629;0.0378;0.2266;0.4972;0;0;0.7867;23.09;174.638;0.5223;26.1;3.5;0.104327140376335;0.00271665437590694;0.0465899088897876;0.0550205771106406;42037000;%;
United Arab Emirates;0;214.437;40.036;0;30.418;11.407;0.8108;0.6766;9.461;0.1006;5.86;0.1677;3.204;10.624;11.295;0.0168;0.1454;0;0;38.246;285.563;14.924;0.4306;29.9;2.6;0.498612559983309;0.003265178385145;0.379835176298769;0.115512205299395;9586000;%;
United Kingdom;0;258.633;42.615;0;14.678;10.778;0.5176;0.4219;125.789;0.078;7.353;0.0745;11.664;0.0638;0.1276;0.0851;14.642;0;0;0.702;241.332;183.507;0.2127;29.5;<2.5;0.467792856822229;0.0652881061750931;0.00204090793470292;0.400463842712433;66833000;%;
United Republic of Tanzania;0;75.907;15.442;0;4.214;0.0744;0.4558;0.2698;3.014;0;25.023;0;83.628;10.233;0.1302;0.7163;0.0279;0;0;0.3628;424.093;270.605;0.2419;7.1;30.7;0.000877510559434531;3,62E+09;0.000315490043961727;0.000525816739936212;58005000;%;
United States of America;0;212.045;33.013;0;12.829;1.25;0.3887;0.4426;94.166;0;68.359;0.009;17.464;0.0449;0.0867;0.0478;0.3977;0;0;0.942;28.797;236.117;0.1944;37.3;<2.5;0.774410684392972;0.0382202197762135;0.208159731188839;0.504051611256771;329153000;%;
Uruguay;0;255.069;34.811;0;25.698;12.804;0.3281;0.1777;122.841;0.0456;80.603;0.0729;15.127;0.0729;0.0319;0.1002;0.7564;0;0;0.1367;244.908;188.819;0.2096;28.9;<2.5;0.0263995453253765;0.000767263427109974;0.0232452401250355;0.00238704177323103;3519000;%;
Uzbekistan;0;259.903;24.884;0;27.168;10.639;0.0962;0.583;103.624;0.012;11.805;0.1743;0.3366;0;0.018;0.0902;0.1683;0;0;0.7754;240.067;184.589;0.8535;15.3;6.3;0.0237459293119417;6,57E+09;0.0159212452570882;0.0077589555137283;33471000;%;
Vanuatu;0;149.179;19.531;0;41.249;0.3509;14.343;0.3052;99.334;0.0254;11.495;0.0966;231.779;0;0.1068;0.4578;0.2187;0;0;0.0356;350.847;64.849;0.1424;23.5;7.2;NA;NA;NA;NA;313000;%;
Venezuela (Bolivarian Republic of);0;163.261;22.673;0;25.449;0.6555;0.5707;0.964;70.949;0.0077;55.217;0.2082;0.1003;0.1157;0;0.1311;0.0848;0;0;0.0154;336.855;295.211;0.1851;25.2;21.2;0.0185755365408893;0.000154299340720999;0.00578271847383925;0.0126385187263291;28516000;%;
Vietnam;0;332.484;38.238;0;37.155;0.7839;11.217;0.4079;264.292;0.0064;0.752;0.3378;42.891;0.0765;0.6309;0.0701;0.0829;0.0382;0;11.726;167.548;56.211;0.6373;2.1;9.3;0.000371121518775613;0;0.000344986200551978;2,61E+09;95656000;%;
Yemen;0;125.401;20.131;0;115.271;0.5514;0.3847;0.2564;8.001;0.0256;13.463;0.2436;0.7565;0.5001;0.1026;0.0513;0.3718;0;0;0.0769;374.535;236.312;0.1667;14.1;38.9;0.00383375625814416;0.00103559426651121;0.00147452163774775;0.00132364035388519;29162000;%;
Zambia;0.0783;96.005;16.113;0;143.225;0.6266;1.007;0.1343;4.901;0.0224;12.756;0.179;98.915;0.0783;0.1567;0.2014;0.0671;0;0;0.0112;403.939;152.848;0.1567;6.5;46.7;0.00871731705951515;0.000123173394546778;0.00734001455685572;0.00125412910811265;17861000;%;
Zimbabwe;0;103.796;29.543;0;97.922;0.3682;0.2455;0.0614;45.674;0.0175;2.104;0.1315;19.462;0.114;0.0526;0.0877;0.1052;0;0;0.4296;396.248;269.396;0.0789;12.3;51.3;0.00387162854216456;4,10E+09;0.00096961420279959;0.00286104472516217;14645000;%;
