Country;Alcoholic Beverages;Animal Products;Animal fats;Aquatic Products, Other;Cereals - Excluding Beer;Eggs;Fish, Seafood;Fruits - Excluding Wine;Meat;Miscellaneous;Milk - Excluding Butter;Offals;Oilcrops;Pulses;Spices;Starchy Roots;Stimulants;Sugar Crops;Sugar & Sweeteners;Treenuts;Vegetal Products;Vegetable Oils;Vegetables;Obesity;Undernourished;Confirmed;Deaths;Recovered;Active;Population;Unit (all except Population);
Iran (Islamic Republic of);0;169.273;60.372;0;55.867;13.259;0.6114;0.6243;61.724;0;26.389;0.1416;0.4055;0.2961;0.2124;0.1738;0.0451;0;0;49.044;330.759;202.935;0.5278;25.5;4.9;0.265363301593355;0.0125227920058157;0.21845765155939;0.0343828580281489;83911000;%;
Iraq;0;111.327;38.118;0;62.761;19.023;0.1441;0.2306;35.164;0.0432;17.366;0.0288;0.9584;0.1369;0.0576;0.0288;0.7278;0;0;0.6341;388.673;296.152;0.1513;27.4;29;0.115497328923938;0.00446705672856779;0.0537318748410074;0.0572983973543628;39310000;%;
Ireland;0;271.689;86.472;0;27.091;0.9231;0.9372;0.2829;100.477;0.0283;65.464;0.0707;0.863;0.0389;0.0707;0.0531;15.137;0;0;0.8417;228.329;161.839;0.2405;26.9;<2.5;0.515063778092731;0.0351285685361409;0.473051224944321;0.00688398461226969;4939000;%;
Israel;0;158.138;12.809;0;16.083;0.87;0.5746;16.051;81.541;0.0257;48.443;0.0867;30.787;0.1605;0.061;0.0353;0.8315;0;0;13.194;341.862;251.782;0.2857;26.7;<2.5;0.2788472825449;0.00373283249207653;0.200422584810424;0.0746918652423993;8519000;%;
Italy;0;218.727;53.931;0;13.598;10.529;0.7327;0.2541;87.134;0.0198;59.146;0.0627;0.4753;0.0858;0.0099;0.0297;0.1056;0;0;14.324;281.306;24.127;0.2277;22.9;<2.5;0.398226862208965;0.0575656640981026;0.313018477090065;0.0276427210207971;60345000;%;
Jamaica;0;230.867;61.721;0.0064;22.375;0.3242;12.204;0.4322;95.156;0.1081;57.081;0.1462;34.389;0.089;14.302;0.2161;0.3496;0;0;0.1398;269.133;181.732;0.2924;24.4;8;0.0247598719316969;0.000355745286374956;0.0196371398078975;0.0047669868374244;2811000;%;
Japan;0;194.516;19.098;0.0057;18.642;31.241;32.666;0.1881;78.331;0.0285;32.096;0.1026;29.816;0.0342;0.1425;0.0513;0.8266;0.0057;0;0.6499;305.456;234.308;0.3478;4.4;<2.5;0.0145553970518307;0.000770328102710414;0.0129394515771121;0.000845617372008242;126180000;%;
Jordan;0;122.622;18.696;0;37.391;0.5224;0.3189;0.198;58.122;0.0385;36.512;0.088;25.074;0.2584;0.1155;0.055;0.5994;0;0;0.9018;377.378;290.553;0.2694;33.4;12.2;0.0107385764920011;8,62E+09;0.00823833700546029;0.00241402433183255;10439000;%;
Kazakhstan;0;234.158;30.343;0;17.405;0.8975;0.1321;0.1787;9.674;0.0389;95.031;0.1748;0.6488;0.0078;0.0272;0.1088;0.9946;0;0;0.7654;265.822;217.258;0.3497;21.3;<2.5;0.115225025663191;0.00096169431087579;0.0698741152952618;0.0443892160570533;18509000;%;
Kenya;0;177.332;18.742;0;99.701;0.3438;0.2773;10.757;65.654;0;84.951;0.1885;16.746;0.8429;0.0555;0.2551;0.0665;0;0;0.5989;322.724;175.003;0.2107;6;29.4;0.0115456309202267;0.000271997565336478;0.00374900140753985;0.0075246319473504;52574000;%;
Kiribati;0;105.699;0.7467;0;1.956;0.265;30.833;0.3517;61.955;0.0434;0.2553;0.0193;285.639;0;0.0145;0.2409;0.0193;0;0;0.8094;394.325;72.939;0.1397;45.6;2.7;NA;NA;NA;NA;123000;%;
Korea; North;0;114.709;0.0262;0;72.234;16.911;0.5375;0.6424;87.179;0.0131;0.4195;0.0918;0.9832;0.6555;0;0.3146;0.0393;0;0;0.0262;38.516;275.957;10.357;7.1;47.8;NA;NA;NA;NA;25666000;%
Korea; South;0.0976;200.483;42.523;0.0511;18.403;13.524;19.147;0.1766;11.186;0;11.386;0.1534;18.914;0.0186;0.0372;0.0325;0.237;0;0;12.036;299.563;237.197;0.6924;4.9;<2.5;0.0246055626277823;0.000543918527948154;0.0220441306947498;0.00201751340508429;51846000;%
Kuwait;0;198.923;21.588;0;30.847;23.242;0.3732;0.3496;95.706;0.1086;52.766;0.189;13.416;0.1984;0.5385;0.0472;15.353;0;0;1.181;301.101;21.215;0.5055;37;2.8;106.826.717.375.802;0.00827192773948182;0.84368908961255;0.21630615640599;4207000;%;
Kyrgyzstan;0;291.225;34.472;0;40.964;0.8655;0.0895;0.2388;101.776;0.0448;142.068;0.3358;0.0895;0.194;0.097;0.1865;21.564;0;0;15.893;208.849;11.461;0.7163;15.4;7.1;0.0776986216509215;0.00077435341489856;0.0355273346755459;0.041396933560477;6457000;%;
Lao People's Democratic Republic;0;216.306;39.594;0;90.989;0.4974;16.871;0.8777;150.283;0.0878;0.2243;0.2243;56.076;0.1365;10.435;0.3121;0.078;0.1853;0;0.0683;283.792;9.762;11.118;4.5;16.5;0.000266292922214436;0;0.000266292922214436;0;7135000;%;
Latvia;0;30.439;10.443;0;15.314;1.343;0.8819;0.2526;97.976;0.0361;78.613;0.1122;0.6334;0;0.0321;0.1323;20.044;0;0;0.8819;19.563;137.943;0.2606;25.7;<2.5;0.058337689492943;0.00156821745948772;0.0487192890747517;0.00805018295870361;1913000;%;
Lebanon;0;124.024;21.637;0;2.253;0.329;0.3681;0.58;51.361;0.039;43.553;0.0502;28.385;0.2175;0.0836;0.1171;0.725;0;0;2.911;375.976;274.593;0.3736;31.3;11;0.0253792298716453;0.000495915985997666;0.0168173862310385;0.0080659276546091;6856000;%;
Lesotho;0;12.96;0.529;0;183.763;0.2415;0.253;0.1495;91.881;0.046;24.149;0.345;0.782;0.4025;0.391;0.184;0.1495;0;0;0.0345;370.285;163.523;0.1725;13.5;13.1;0.00127058823529412;0;0.000188235294117647;0.00108235294117647;2125000;%;
Liberia;0;74.228;0.4154;0;33.592;0.2528;0.3702;0.1445;60.051;0.0361;0.2438;0.1355;15.803;0.0361;0;0.307;0.1174;0;0;0.3883;425.772;364.186;0.1896;8.6;37.2;0.0155560056714604;0.000688677334413612;0.00603605428397812;0.00883127405306866;4937000;%;
Lithuania;0;323.048;9.388;0;17.819;19.226;1.238;0.3283;142.134;0.0094;54.302;0.1125;0.8441;0.2345;0.197;0.061;0.3423;0;0;0.9238;176.975;127.128;0.2579;28.4;<2.5;0.0651237890204521;0.00279870828848224;0.0539289558665231;0.00839612486544672;2787000;%;
Luxembourg;0;324.517;64.786;0;18.437;16.645;0.6987;0.3256;163.118;0.0658;72.286;0.0658;0.6402;0.0146;0.1646;0.0329;33.838;0;0;0.128;175.519;106.855;0.2634;24.2;<2.5;0.684193548387097;0.017741935483871;0.641612903225806;0.0248387096774194;620000;%;
Madagascar;0;190.932;17.454;0;100.681;0.3406;0.745;12.984;115.581;0.0213;44.274;0.298;15.113;0.3193;0.2554;0.9153;0.1916;0.0213;0;0.2129;309.068;158.791;0.1916;4.5;44.4;0.00770514294189625;6,67E+09;0.00350031517668434;0.0041380844673514;26969000;%;
Malawi;0;188.711;26.263;0;130.891;0.2753;0.6672;13.767;146.458;0.0106;0.4024;0.2542;56.232;0.7519;0.0529;13.555;0.0318;0;0;0.2012;311.236;84.189;0.2224;4.7;17.5;0.00615169896398089;6,98E+09;0.00139567341242149;0.00468624188093832;18629000;%;
Malaysia;0;171.723;14.813;0;22.933;27.596;18.599;0.1756;98.041;0.0713;12.289;0.0329;17.502;0.0658;0.6584;0.0329;0;0;0;0.3731;328.304;27.174;0.2359;15.3;2.5;0.0263609440356609;0.000369431807773334;0.0253961469178396;0.000595365310047935;32753000;%;
Maldives;0;297.398;48.409;0;45.092;32.756;84.068;0.4665;5.836;0.4561;73.909;0;13.683;0.0518;11.713;0.0622;17.207;0;0;49.756;20.255;49.549;0.5183;7.9;10.3;0.434392523364486;0.00149532710280374;0.357196261682243;0.0757009345794392;535000;%;
Mali;0;174.631;12.195;0;120.873;0.1327;0.4065;0.2987;56.745;0.0249;97.146;0.3152;33.765;0.5475;0.1244;0.1327;0.0332;0;0;13.357;325.369;141.945;0.3816;7.1;6.3;0.0109217621324652;0.000579916573405229;0.00728456607996744;0.00305727947909248;19658000;%;
